REGIAO;ANO;VALOR
CEILANDIA;2016;475
SAMAMBAIA;2016;282
TAGUATINGA;2016;209
PLANALTINA;2016;212
BRASILIA;2016;204
GAMA;2016;175
RECANTO DAS EMAS;2016;143
SAO SEBASTIAO;2016;146
SANTA MARIA;2016;112
GUARA;2016;94
SOBRADINHO;2016;79
AGUAS CLARAS;2016;92
PARANOA;2016;79
SOBRADINHO 2;2016;79
BRAZLANDIA;2016;74
ITAPOA;2016;92
VICENTE PIRES;2016;53
RIACHO FUNDO 2;2016;45
RIACHO FUNDO;2016;56
ESTRUTURAL;2016;45
NUCLEO BANDEIRANTE;2016;34
CRUZEIRO;2016;11
SUDOESTE;2016;16
LAGO NORTE;2016;17
LAGO SUL;2016;12
CANDANGOLANDIA;2016;23
VARJAO DO TORTO;2016;9
SIA;2016;8
JARDIM BOTANICO;2016;9
PARK WAY;2016;16
FERCAL;2016;9
CEILANDIA;2017;415
SAMAMBAIA;2017;256
TAGUATINGA;2017;224
PLANALTINA;2017;205
BRASILIA;2017;199
GAMA;2017;163
RECANTO DAS EMAS;2017;157
SAO SEBASTIAO;2017;122
SANTA MARIA;2017;94
GUARA;2017;90
SOBRADINHO;2017;79
AGUAS CLARAS;2017;78
PARANOA;2017;71
SOBRADINHO 2;2017;62
BRAZLANDIA;2017;56
ITAPOA;2017;55
VICENTE PIRES;2017;54
RIACHO FUNDO 2;2017;52
RIACHO FUNDO;2017;43
ESTRUTURAL;2017;40
NUCLEO BANDEIRANTE;2017;21
CRUZEIRO;2017;18
SUDOESTE;2017;17
LAGO NORTE;2017;17
LAGO SUL;2017;17
CANDANGOLANDIA;2017;14
VARJAO DO TORTO;2017;11
SIA;2017;9
JARDIM BOTANICO;2017;8
PARK WAY;2017;6
FERCAL;2017;3
CEILANDIA;2018;377
TAGUATINGA;2018;226
SAMAMBAIA;2018;213
PLANALTINA;2018;191
BRASILIA;2018;190
GAMA;2018;132
SAO SEBASTIAO;2018;126
RECANTO DAS EMAS;2018;120
SANTA MARIA;2018;107
GUARA;2018;91
SOBRADINHO;2018;85
PARANOA;2018;80
AGUAS CLARAS;2018;57
ITAPOA;2018;56
RIACHO FUNDO 2;2018;54
SOBRADINHO 2;2018;52
BRAZLANDIA;2018;46
ESTRUTURAL;2018;38
VICENTE PIRES;2018;31
RIACHO FUNDO;2018;29
NUCLEO BANDEIRANTE;2018;24
LAGO SUL;2018;20
LAGO NORTE;2018;16
FERCAL;2018;16
SUDOESTE;2018;13
CRUZEIRO;2018;13
VARJAO DO TORTO;2018;12
CANDANGOLANDIA;2018;12
PARK WAY;2018;7
SIA;2018;7
JARDIM BOTANICO;2018;4
CEILANDIA;2019;464
